id,category,brand,name_en,name_sw,desc_en,desc_sw,specs_en,specs_sw,price,stock,featured,image,active
hp-laptops,laptops,HP,HP laptops,Kompyuta mpakato za HP,"Laptops for the office, school and home. Tell us your budget and how you will use it, and we recommend what is in stock.","Kompyuta mpakato kwa ofisini, shuleni na nyumbani. Tuambie bajeti yako na matumizi, nasi tunakupendekezea kilichopo dukani.",,,,,yes,,yes
dell-laptops,laptops,Dell,Dell laptops,Kompyuta mpakato za Dell,"Business and everyday laptops. Tell us your budget and how you will use it, and we recommend what is in stock.","Kompyuta mpakato za biashara na matumizi ya kila siku. Tuambie bajeti yako na matumizi, nasi tunakupendekezea kilichopo dukani.",,,,,,,yes
tablets,laptops,,Tablets,Tablet,"Tablets for work, study and entertainment. Ask what is in stock.","Tablet kwa kazi, masomo na burudani. Uliza zilizopo dukani.",,,,,,,yes
dell-desktops,desktops,Dell,Dell desktop computers,Kompyuta za mezani za Dell,Branded desktop computers for offices and computer rooms.,Kompyuta za mezani za chapa kwa ofisi na vyumba vya kompyuta.,,,,,,,yes
custom-pc-builds,desktops,,Custom-built desktop PCs,Kompyuta za mezani zilizounganishwa kwa mahitaji yako,"Assembled to fit your work, from office use to design and performance. We build, test and install.","Tunaziunganisha kulingana na kazi yako, kuanzia matumizi ya ofisini hadi ubunifu na kasi. Tunaunganisha, kujaribu na kusimika.",,,,,,,yes
epson-ink-tank,printers,Epson,Epson ink tank printers,Vichapishi vya Epson vya ink tank,"Low-cost printing for offices, shops and homes. We supply, set up and service.","Uchapishaji wa gharama nafuu kwa ofisi, maduka na nyumbani. Tunauza, kuweka tayari na kuhudumia.",,,,,yes,,yes
laser-inkjet-printers,printers,,Laser and inkjet printers,Vichapishi vya laser na inkjet,LaserJet and DeskJet-type printers for office and home. Ask for models in stock.,Vichapishi aina ya LaserJet na DeskJet kwa ofisi na nyumbani. Uliza modeli zilizopo.,,,,,,,yes
dot-matrix-printers,printers,,Dot-matrix printers,Vichapishi vya dot-matrix,"For multi-part forms, receipts and invoices.","Kwa fomu za nakala nyingi, risiti na ankara.",,,,,,,yes
scanners,printers,,Scanners,Skana,Document scanners for offices and records rooms.,Skana za nyaraka kwa ofisi na vyumba vya kumbukumbu.,,,,,,,yes
photocopiers,copiers,,"Photocopiers, black and white and colour","Mashine za photocopy, nyeusi na nyeupe na za rangi",Supplied and serviced by our own engineers.,Tunauza na kuhudumia kwa wahandisi wetu wenyewe.,,,,,,,yes
bill-counters,copiers,,Bill counting machines,Mashine za kuhesabu pesa,"For shops, banks and cash offices. Supply and servicing.","Kwa maduka, benki na ofisi za fedha. Tunauza na kuhudumia.",,,,,,,yes
laminators,copiers,,Laminating machines,Mashine za lamination,Office and print-shop laminators.,Mashine za lamination kwa ofisi na maduka ya uchapishaji.,,,,,,,yes
plotters,copiers,,Plotters and photo plotters,Plotter na photo plotter,"Large-format printing for drawings, posters and banners.","Uchapishaji mkubwa wa michoro, mabango na posta.",,,,,,,yes
tplink-wifi,networking,TP-Link,TP-Link Wi-Fi routers and mesh systems,Router na mifumo ya mesh ya Wi-Fi ya TP-Link,"Wi-Fi coverage for homes, shops and offices.","Mtandao wa Wi-Fi kwa nyumba, maduka na ofisi.",,,,,yes,,yes
dlink-routers,networking,D-Link,D-Link wireless routers,Router zisizotumia waya za D-Link,Affordable wireless routers for small offices and homes.,Router za bei nafuu zisizotumia waya kwa ofisi ndogo na nyumbani.,,,,,,,yes
lan-parts,networking,,"Switches, cables and LAN accessories","Switch, nyaya na vifaa vya LAN",Everything for a structured office network. We can install it too.,Kila kitu kwa mtandao wa ofisi uliopangwa. Tunaweza pia kukusimikia.,,,,,,,yes
cctv-kits,security,,CCTV camera kits,Seti za kamera za CCTV,"Supply and installation for homes, shops and offices.","Tunauza na kusimika kwa nyumba, maduka na ofisi.",,,,,yes,,yes
fingerprint-terminals,security,,Fingerprint attendance terminals,Mashine za mahudhurio kwa alama za vidole,Track staff attendance with a fingerprint terminal.,Fuatilia mahudhurio ya wafanyakazi kwa mashine ya alama za vidole.,,,,,,,yes
ups,power,,UPS power backup units,UPS za umeme wa akiba,Keep computers and network equipment running through power cuts.,Endelea kutumia kompyuta na vifaa vya mtandao wakati umeme unakatika.,,,,,,,yes
split-ac,aircon,,Split air conditioners,Viyoyozi vya split,Supplied and serviced.,Tunauza na kuhudumia.,,,,,,,yes
ink-toner,supplies,,"Ink, toner and printer consumables","Wino, toner na vifaa vya matumizi vya vichapishi",For most common office printers. Tell us your printer model.,Kwa vichapishi vingi vya kawaida vya ofisi. Tuambie modeli ya kichapishi chako.,,,,,,,yes
memory-storage,supplies,,Memory and storage upgrades,Kuboresha memori na hifadhi,"RAM, SSD and hard drives to speed up or expand your computer.","RAM, SSD na diski ngumu kuongeza kasi au nafasi ya kompyuta yako.",,,,,,,yes
computer-accessories,supplies,,Computer accessories,Vifaa saidizi vya kompyuta,"Keyboards, mice, cables, flash drives and other peripherals.","Kibodi, panya, nyaya, flash na vifaa vingine vya ziada.",,,,,,,yes
jbl-audio,supplies,JBL,JBL speakers and audio accessories,Spika na vifaa vya sauti vya JBL,Speakers for computers and small offices.,Spika kwa kompyuta na ofisi ndogo.,,,,,,,yes
stationery,supplies,,Office stationery,Vifaa vya kuandikia vya ofisini,"Paper, files and everyday office stationery.","Karatasi, mafaili na vifaa vya kuandikia vya kila siku.",,,,,,,yes
